timestamp,index_type,info,dstore,qproc,compr,optim,query,query_type,run_id,latency_ms,current_mem_kb,peak_mem_kb
2025-11-02T15:29:06.000371,es, , , , , ,"(""america"" AND (""washington"" OR ""president""))",nested,1,3.475
2025-11-02T15:29:06.000454,es, , , , , ,"(""america"" AND (""washington"" OR ""president""))",nested,2,3.502
2025-11-02T15:29:06.000529,es, , , , , ,"(""america"" AND (""washington"" OR ""president""))",nested,3,4.622
2025-11-02T15:29:06.000602,es, , , , , ,"(""america"" AND (""washington"" OR ""president""))",nested,4,3.461
2025-11-02T15:29:06.026128,es, , , , , ,"(""america"" AND (""washington"" AND (""congress"" OR ""president"")))",nested,0,4.83
2025-11-02T15:29:06.026347,es, , , , , ,"(""america"" AND (""washington"" AND (""congress"" OR ""president"")))",nested,1,5.009
2025-11-02T15:29:06.026445,es, , , , , ,"(""america"" AND (""washington"" AND (""congress"" OR ""president"")))",nested,2,5.216
2025-11-02T15:29:06.026518,es, , , , , ,"(""america"" AND (""washington"" AND (""congress"" OR ""president"")))",nested,3,5.031
2025-11-02T15:29:06.026591,es, , , , , ,"(""america"" AND (""washington"" AND (""congress"" OR ""president"")))",nested,4,5.124
2025-11-02T15:29:06.044427,es, , , , , ,america washington,edge,0,3.632
2025-11-02T15:29:06.044626,es, , , , , ,america washington,edge,1,3.399
2025-11-02T15:29:06.044713,es, , , , , ,america washington,edge,2,3.472
2025-11-02T15:29:06.044793,es, , , , , ,america washington,edge,3,3.449
2025-11-02T15:29:06.044870,es, , , , , ,america washington,edge,4,3.645
2025-11-02T15:29:06.056991,es, , , , , ,"""united states of america"" OR america",edge,0,2.4
2025-11-02T15:29:06.057185,es, , , , , ,"""united states of america"" OR america",edge,1,2.25
2025-11-02T15:29:06.057267,es, , , , , ,"""united states of america"" OR america",edge,2,2.161
2025-11-02T15:29:06.057341,es, , , , , ,"""united states of america"" OR america",edge,3,2.495
2025-11-02T15:29:06.057412,es, , , , , ,"""united states of america"" OR america",edge,4,2.622
2025-11-02T15:29:06.062237,es, , , , , ,"""washington"" AND NOT ""washington""",edge,0,1.108
2025-11-02T15:29:06.062426,es, , , , , ,"""washington"" AND NOT ""washington""",edge,1,0.898
2025-11-02T15:29:06.062514,es, , , , , ,"""washington"" AND NOT ""washington""",edge,2,0.899
2025-11-02T15:29:06.062593,es, , , , , ,"""washington"" AND NOT ""washington""",edge,3,0.807
2025-11-02T15:29:06.062668,es, , , , , ,"""washington"" AND NOT ""washington""",edge,4,1.015
2025-11-02T15:29:06.072775,es, , , , , ,(america),edge,0,2.034
2025-11-02T15:29:06.072958,es, , , , , ,(america),edge,1,1.967
2025-11-02T15:29:06.073043,es, , , , , ,(america),edge,2,2.015
2025-11-02T15:29:06.073119,es, , , , , ,(america),edge,3,1.992
2025-11-02T15:29:06.073193,es, , , , , ,(america),edge,4,1.906
2025-11-02T15:29:06.089363,es, , , , , ,"NOT (""america"" AND ""washington"")",edge,0,2.189
2025-11-02T15:29:06.089579,es, , , , , ,"NOT (""america"" AND ""washington"")",edge,1,2.447
2025-11-02T15:29:06.089665,es, , , , , ,"NOT (""america"" AND ""washington"")",edge,2,2.298
2025-11-02T15:29:06.089743,es, , , , , ,"NOT (""america"" AND ""washington"")",edge,3,6.642
